gs_name,gene_symbol,gs_exact_source
KEGG_ADHERENS_JUNCTION,Map3k7,hsa04520
KEGG_ADHERENS_JUNCTION,Mapk1,hsa04520
KEGG_ADHERENS_JUNCTION,Mapk3,hsa04520
KEGG_ADHERENS_JUNCTION,Met,hsa04520
KEGG_ADHERENS_JUNCTION,Nectin1,hsa04520
KEGG_ADHERENS_JUNCTION,Nectin2,hsa04520
KEGG_ADHERENS_JUNCTION,Nectin3,hsa04520
KEGG_ADHERENS_JUNCTION,Nectin4,hsa04520
KEGG_ADHERENS_JUNCTION,Nlk,hsa04520
KEGG_ADHERENS_JUNCTION,Pard3,hsa04520
KEGG_ADHERENS_JUNCTION,Ptpn1,hsa04520
KEGG_ADHERENS_JUNCTION,Ptpn6,hsa04520
KEGG_ADHERENS_JUNCTION,Ptprb,hsa04520
KEGG_ADHERENS_JUNCTION,Ptprf,hsa04520
KEGG_ADHERENS_JUNCTION,Ptprj,hsa04520
KEGG_ADHERENS_JUNCTION,Ptprm,hsa04520
KEGG_ADHERENS_JUNCTION,Rac1,hsa04520
KEGG_ADHERENS_JUNCTION,Rac2,hsa04520
KEGG_ADHERENS_JUNCTION,Rac3,hsa04520
KEGG_ADHERENS_JUNCTION,Rhoa,hsa04520
KEGG_ADHERENS_JUNCTION,Smad2,hsa04520
KEGG_ADHERENS_JUNCTION,Smad3,hsa04520
KEGG_ADHERENS_JUNCTION,Smad4,hsa04520
KEGG_ADHERENS_JUNCTION,Snai1,hsa04520
KEGG_ADHERENS_JUNCTION,Snai2,hsa04520
KEGG_ADHERENS_JUNCTION,Sorbs1,hsa04520
KEGG_ADHERENS_JUNCTION,Src,hsa04520
KEGG_ADHERENS_JUNCTION,Ssx2ip,hsa04520
KEGG_ADHERENS_JUNCTION,Tcf7,hsa04520
KEGG_ADHERENS_JUNCTION,Tcf7l1,hsa04520
KEGG_ADHERENS_JUNCTION,Tcf7l2,hsa04520
KEGG_ADHERENS_JUNCTION,Tgfbr1,hsa04520
KEGG_ADHERENS_JUNCTION,Tgfbr2,hsa04520
KEGG_ADHERENS_JUNCTION,Tjp1,hsa04520
KEGG_ADHERENS_JUNCTION,Vcl,hsa04520
KEGG_ADHERENS_JUNCTION,Was,hsa04520
KEGG_ADHERENS_JUNCTION,Wasf1,hsa04520
KEGG_ADHERENS_JUNCTION,Wasf2,hsa04520
KEGG_ADHERENS_JUNCTION,Wasf3,hsa04520
KEGG_ADHERENS_JUNCTION,Wasl,hsa04520
KEGG_ADHERENS_JUNCTION,Yes1,hsa04520
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Acacb,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Acsl1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Acsl3,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Acsl4,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Acsl5,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Acsl6,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Adipoq,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Adipor1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Adipor2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Agrp,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Akt1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Akt2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Akt3,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Camkk1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Camkk2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Cd36,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Chuk,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Cpt1a,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Cpt1b,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Cpt1c,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,G6pc,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,G6pc2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Ikbkb,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Ikbkg,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Irs1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Irs2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Irs4,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Jak2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Lep,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Lepr,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Mapk10,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Mapk8,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Mapk9,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Mtor,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Nfkb1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Nfkbia,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Nfkbib,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Nfkbie,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Npy,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Pck1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Pck2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Pomc,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Ppara,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Ppargc1a,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkaa1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkaa2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkab1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkab2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkag1,hsa04920
